id,lat,lon,name,ref:FR:STIF,FIXME,source:position
StopPoint:Node:260017423,48.8448483,2.3247237,Rennes - Littré,22640,,opendata.paris.fr - 04/2011
StopPoint:Node:260382054,48.8521941,2.330686,Michel Debré,,,
StopPoint:Node:260382056,48.8516434,2.3277444,Sèvres - Babylone,28568,,opendata.paris.fr - 04/2011
StopPoint:Node:260382063,48.8517487,2.3307914,Michel Debré,,,
StopPoint:Node:260720693,48.7692053,2.1290732,Louis Blériot,,,
StopPoint:Node:260720695,48.7691442,2.1291313,Louis Blériot,,,
StopPoint:Node:260743996,48.8453835,2.368688,Pont d'Austerlitz - Quai de la Rapée,,,opendata.paris.fr - 04/2011
StopPoint:Node:260743999,48.8453126,2.3695255,Pont d'Austerlitz - Quai de la Rapée,36168,,opendata.paris.fr - 04/2011
StopPoint:Node:260744090,48.8456772,2.3714536,Gare de Lyon - Diderot,22494,,
StopPoint:Node:260744181,48.8446991,2.3642693,Gare d'Austerlitz,,,opendata.paris.fr - 04/2011
StopPoint:Node:260744184,48.8460901,2.3720874,Gare de Lyon - Diderot,,,opendata.paris.fr - 04/2011
StopPoint:Node:261570338,48.8522029,2.3264371,Sèvres - Babylone,,,opendata.paris.fr - 04/2011
StopPoint:Node:262239988,48.8424229,2.2989616,Mairie du XV,39324,,
StopPoint:Node:262241541,48.8513135,2.3334382,Église Saint-Sulpice,,,opendata.paris.fr - 04/2011
StopPoint:Node:262241577,48.8517725,2.3274517,Sèvres - Babylone,,,opendata.paris.fr - 04/2011
StopPoint:Node:262278014,48.8614952,2.3146148,Invalides,,,
StopPoint:Node:262279588,48.8598983,2.314402,Esplanade des Invalides,26311,,opendata.paris.fr - 04/2011
StopPoint:Node:262281221,48.8627959,2.3145027,Invalides,,,opendata.paris.fr - 04/2011
StopPoint:Node:265072941,48.9336227,2.209623,Albert 1er,,,
StopPoint:Node:265072963,48.9345466,2.2089125,Albert 1er,,,
StopPoint:Node:265073037,48.933027,2.2064874,Albert 1er,7578,,
StopPoint:Node:265073041,48.9331533,2.2050933,Joliot-Curie,7583,,
StopPoint:Node:267314163,48.8514038,2.3013568,Joffre-Suffren,,,opendata.paris.fr - 04/2011
StopPoint:Node:267314165,48.8508889,2.3003799,Joffre-Suffren,,,opendata.paris.fr - 04/2011
StopPoint:Node:267314166,48.851552,2.3004186,Joffre-Suffren,,,opendata.paris.fr - 04/2011
StopPoint:Node:268122348,48.7649152,2.6651691,Campus Ouest,,,
StopPoint:Node:269341527,48.7843783,2.1324879,Sente du Haras,,,
StopPoint:Node:269341528,48.784372,2.132616,Sente du Haras,,,
StopPoint:Node:269342386,48.7814007,2.1319014,Genévrière,,,
StopPoint:Node:269342388,48.780998,2.1315398,Genévrière,,,
StopPoint:Node:269342523,48.7762103,2.1299257,Buc Ville,,,
StopPoint:Node:269342524,48.7761267,2.1301888,Buc Ville,,,
StopPoint:Node:269422476,48.5953741,2.3690893,Parc de Tréville,,,
StopPoint:Node:269976000,48.6489901,2.3750066,,,,
StopPoint:Node:270241571,48.8069448,2.1309094,Place du Marché,,,
StopPoint:Node:270241876,48.8069307,2.1305933,Place du Marché,,,
StopPoint:Node:270284498,48.7670621,2.159123,Sainte-Suzanne,,,
StopPoint:Node:270284500,48.765149,2.16363,Gare de Jouy en Josas,,,
StopPoint:Node:270284503,48.7652289,2.1637193,Gare de Jouy en Josas,,,
StopPoint:Node:270880681,48.786939,2.1331419,Cerf-Volant,,,
StopPoint:Node:270880682,48.7860515,2.1327325,Cerf-Volant,,,
StopPoint:Node:271027281,48.5213749,2.3003825,,,,
StopPoint:Node:271027282,48.5195672,2.3021327,,,,
StopPoint:Node:271037140,48.5156944,2.2993039,,,,
StopPoint:Node:271433096,48.614751,2.4253116,Petite Montagne,,,
StopPoint:Node:273412963,48.7979566,2.4646352,Hôpital Intercommunal,,,
StopPoint:Node:275186043,48.9550505,2.3081429,Avenue du 18 Juin 1940,,,
StopPoint:Node:275292187,48.3462763,2.1532225,,,,
StopPoint:Node:275347714,48.8641968,2.1801815,Lycée de Rueil,,,
StopPoint:Node:275348082,48.8618037,2.1843941,Otis Mygatt,,,
StopPoint:Node:275348409,48.8603649,2.1779029,Piscine de Buzenval,,,
StopPoint:Node:275348570,48.8622582,2.171384,Saint-Cucufa,,,
StopPoint:Node:275348608,48.8631123,2.1714722,Saint-Cucufa,,,
StopPoint:Node:275348704,48.8594794,2.1824577,Collège Passy-Buzenval,,,
StopPoint:Node:275348785,48.8602622,2.1779771,Piscine de Buzenval,,,
StopPoint:Node:275348848,48.8645525,2.1799498,Lycée de Rueil,,,
StopPoint:Node:276279681,49.0146321,3.0329795,Lotissement de Condé,,,
StopPoint:Node:276279682,49.0178722,3.0253447,Port Courage - Coquelicots,,,
StopPoint:Node:276280011,49.0173832,3.0297291,,,,
StopPoint:Node:276280012,49.0157914,3.0269902,,,,
StopPoint:Node:276280013,49.019332,3.0299813,,,,
StopPoint:Node:280848106,48.8308078,2.3185643,Alésia - Didot,,,opendata.paris.fr - 04/2011
StopPoint:Node:280849387,48.8306269,2.3187317,Alésia - Didot,,,opendata.paris.fr - 04/2011
StopPoint:Node:283805234,48.8218855,2.4155112,Charenton-Écoles,,,
StopPoint:Node:283819138,48.8215664,2.4140425,Charenton-Écoles,,,
StopPoint:Node:283824250,48.8192283,2.4111342,Victor Hugo,,,
StopPoint:Node:290001178,48.5005125,2.3523502,,,,
StopPoint:Node:292422396,48.6339302,2.449528,Foyer Club,,,
StopPoint:Node:292760490,48.6190658,2.4013715,Édouard Branly,,,
StopPoint:Node:294082533,48.7729958,2.4346114,Pompadour,,,
StopPoint:Node:294082534,48.769166,2.4217507,Marcelin Berthelot,,,
StopPoint:Node:294082536,48.7676682,2.417044,Pasteur,,,
StopPoint:Node:294082543,48.7632082,2.4020044,René Panhard,,,
StopPoint:Node:295350060,48.8782918,2.3708065,Colonel Fabien,,,opendata.paris.fr - 04/2011
StopPoint:Node:295431630,48.8053335,2.4971495,Les Maronniers,39679,,
StopPoint:Node:296467491,48.7665086,1.90504,Les Bruyères,21117,,
StopPoint:Node:296467496,48.7652877,1.9089343,,,,
StopPoint:Node:296467499,48.7646646,1.911735,,,,
StopPoint:Node:296467502,48.7646225,1.9116892,,,,
StopPoint:Node:296467504,48.7651007,1.9169103,Le Clos Breton,20690,,
StopPoint:Node:296467510,48.7658283,1.9177233,Grand'Mare,20689,,
StopPoint:Node:296467512,48.7657198,1.9178899,Grand'Mare,20692,,
StopPoint:Node:296467515,48.7675688,1.9209527,Croix Blanche,,,
StopPoint:Node:296925112,48.7675266,1.9260411,Îles Glénans,20687,,
StopPoint:Node:296925114,48.7669944,1.9265866,Îles Glénans,4358,,
StopPoint:Node:296925115,48.7649975,1.9293301,Armorique,,,
StopPoint:Node:296925116,48.7651255,1.9292563,Armorique,,,
StopPoint:Node:296925117,48.7635105,1.9321535,Cornouaille,,,
StopPoint:Node:296925118,48.7636628,1.9321873,Cornouaille,,,
StopPoint:Node:296925119,48.7644427,1.9348563,Bretagne,,,
StopPoint:Node:296925120,48.7643268,1.9346164,Bretagne,,,
StopPoint:Node:296925121,48.7632046,1.9382135,Square de Ré,,,
StopPoint:Node:296925122,48.7633235,1.9383428,Square de Ré,,,
StopPoint:Node:296925123,48.7615498,1.9413194,Square de la Marche,,,
StopPoint:Node:296925124,48.7615073,1.9414943,Square de la Marche,,,
StopPoint:Node:296925125,48.7604223,1.9440421,Centre Commercial,20806,,
StopPoint:Node:296925126,48.7607321,1.9447512,Centre Commercial,20804,,
StopPoint:Node:296925139,48.7560091,1.9428272,Gare La Verrière,424183 ; 4375,,
StopPoint:Node:297142242,48.7612926,1.9460311,Centre Commercial,20724,,
StopPoint:Node:297142246,48.7618186,1.9457617,Centre Commercial,4374,,
StopPoint:Node:297142248,48.7649051,1.9433236,Lycée des Sept Mares,,,
StopPoint:Node:297142250,48.7647552,1.9430019,Lycée des Sept Mares,,,
StopPoint:Node:297142253,48.7627995,1.9123849,Pasteur,,,
StopPoint:Node:297142256,48.761203,1.916435,Pariwest,,,
StopPoint:Node:297706023,48.8408568,2.5519206,Noisy-le-Grand - Mont d'Est RER,,,
StopPoint:Node:297711100,48.849284,2.5649489,Pointe de Gournay,,,
StopPoint:Node:297711101,48.8492846,2.5651158,Pointe de Gournay,,,
StopPoint:Node:297711136,48.8494745,2.5648984,Pointe de Gournay,,,
StopPoint:Node:299458138,48.7682308,2.2505043,,,,
StopPoint:Node:299458139,48.7682847,2.2503816,,,,
StopPoint:Node:299606934,48.798594,2.4859103,Théâtre de Saint-Maur,22669,,
StopPoint:Node:299827176,48.8023969,2.4610132,Chéret-Laferrière,,,
StopPoint:Node:299827821,48.8024457,2.4599985,Chéret-Laferrière,,,
StopPoint:Node:303749306,49.0271428,2.4736554,École Pasteur,,,
StopPoint:Node:304798765,49.0279699,1.9762456,Rue de la Rangée,,,
StopPoint:Node:304815760,49.0456856,2.0116883,L'Orangerie,,,
StopPoint:Node:304970529,49.0421554,2.0307735,,,,
StopPoint:Node:305897890,48.8042604,2.4717366,Rue des Remises,422978,,
StopPoint:Node:306466389,48.9309247,2.2073612,Paul Éluard,,,
StopPoint:Node:306466402,48.9376905,2.2071718,La Berthie,,,
StopPoint:Node:306466425,48.9378573,2.2069611,La Berthie,,,
StopPoint:Node:306466449,48.9271692,2.2153434,La Grâce de Dieu,,,
StopPoint:Node:306912828,48.8397144,2.3019191,Vaugirard - Favorites,,,opendata.paris.fr - 04/2011
StopPoint:Node:307698922,49.0279452,1.9763678,Rue de la Rangée,,,
StopPoint:Node:307703609,49.0268696,1.9788631,Rue de la Grande Pièce,,,
StopPoint:Node:307703865,49.0293587,1.9782946,Menucourt CES la Taillette,,,
StopPoint:Node:307710154,49.0465872,2.0230644,,,,
StopPoint:Node:307710366,49.0436602,2.0285443,Rond-Point du Cèdre,,,
StopPoint:Node:307714084,49.0331381,2.0206033,La Bussie,,,
StopPoint:Node:307714190,49.0328848,2.0201741,La Bussie,,,
StopPoint:Node:307714403,49.0300317,2.0226632,La Croix-Lieu,,,
StopPoint:Node:307714867,49.0303018,2.0226804,La Croix-Lieu,,,
StopPoint:Node:307714914,49.0305083,2.0218695,La Croix-Lieu,,,
StopPoint:Node:307715070,49.0363481,2.0170795,Boris Vian,,,
StopPoint:Node:307715264,49.035659,2.0168696,Boris Vian,,,
StopPoint:Node:307715313,49.0354958,2.0177451,Boris Vian,,,
StopPoint:Node:307715452,49.0408065,2.0149885,Rond-Point du Golf,,,
StopPoint:Node:307715696,49.0395614,2.0158365,Rond-Point du Golf,,,
StopPoint:Node:307715852,49.0443679,2.0102223,L'Orangerie,,,
StopPoint:Node:307750129,48.8254053,1.9641914,Ida Nudel,14109,,
StopPoint:Node:307750130,48.8258037,1.9646746,Ida Nudel,5803,,
StopPoint:Node:307783465,49.0237002,2.0001456,Montrouge,,,
StopPoint:Node:307783596,49.0260258,2.005814,Grande Rue,,,
StopPoint:Node:309963671,48.8375382,2.2971355,Convention - Vaugirard,41282,,opendata.paris.fr - 04/2011
StopPoint:Node:310047482,48.8375549,2.2958212,Convention - Vaugirard,23617,,opendata.paris.fr - 04/2011
StopPoint:Node:310181352,48.3169739,2.103443,Gare de Méréville,,,
StopPoint:Node:310188783,48.3186463,2.0873439,Hôtel de Ville de Méréville,,,
StopPoint:Node:310244529,48.75525,2.215894,,,,
StopPoint:Node:310247652,48.7644968,2.227219,Abbaye,,,
StopPoint:Node:310247654,48.7645271,2.2273718,Abbaye,,,
StopPoint:Node:310276134,48.7665581,2.254733,Francis de Pressensé,,,
StopPoint:Node:310277675,48.7670403,2.2661838,,,,
StopPoint:Node:310280074,48.767374,2.26674,,,,
StopPoint:Node:311795752,48.9087083,2.1589799,,,,
StopPoint:Node:313388113,48.7802338,1.9753818,,,,
StopPoint:Node:313388115,48.7802846,1.9755275,Paul Gauguin,,,
StopPoint:Node:313406959,48.7922582,1.9657208,Marcel Cerdan,,,
StopPoint:Node:313918103,48.8005403,2.4716535,Pont de Créteil,,,
StopPoint:Node:315775392,48.8277556,2.3350602,Alésia - René Coty,27438,,
StopPoint:Node:316631328,48.7175733,2.6019406,,,,
StopPoint:Node:316795502,48.6994607,2.5489391,,,,
StopPoint:Node:316795708,48.6970952,2.5472095,,,,
StopPoint:Node:316915198,48.9030554,2.1148619,,,,
StopPoint:Node:317275115,48.8747438,2.217829,Mont Valérien,8023,,
StopPoint:Node:317275220,48.8750326,2.217647,Mont Valérien,8022,,
StopPoint:Node:318342473,48.9057058,2.1156958,,,,
StopPoint:Node:318342686,48.905435,2.1154555,,,,
StopPoint:Node:318758355,48.8979731,2.1063104,,,,
StopPoint:Node:318769105,48.8977767,2.1069086,Mairie,,,
StopPoint:Node:318809553,48.9098047,2.1195238,,,,
StopPoint:Node:319279355,48.8040891,2.4714082,Rue des Remises,27586,,
StopPoint:Node:319315940,48.9210248,2.132093,,,,
StopPoint:Node:319361861,48.9106264,2.1420727,,,,
StopPoint:Node:319361975,48.9102528,2.1422164,,,,
StopPoint:Node:322689223,48.8342302,2.3084216,Labrouste - Vouillé,,,opendata.paris.fr - 04/2011
StopPoint:Node:322691408,48.8337381,2.3083597,Labrouste,,,opendata.paris.fr - 04/2011
StopPoint:Node:324423388,48.8577162,2.2801463,Jean Bologne,25097,,opendata.paris.fr - 04/2011
StopPoint:Node:329130601,48.8692186,2.3380768,Richelieu - 4 Septembre,,,opendata.paris.fr - 04/2011
StopPoint:Node:330853541,48.7933795,2.460295,Église de Créteil,,,
StopPoint:Node:331212957,48.9065538,2.3759265,,,,
StopPoint:Node:331269972,48.7973144,2.3581558,Guy Moquet,,,
StopPoint:Node:331271215,48.7946784,2.3626479,Groupe Hospitalier Paul Brousse,,,
StopPoint:Node:331418621,48.8951906,2.3716079,Crimée - Aubervilliers,,,
StopPoint:Node:331453352,48.8488965,2.3721895,Lyon - Ledru-Rollin,39722,,opendata.paris.fr - 04/2011
StopPoint:Node:332718408,48.8400074,2.3043626,Cambronne - Vaugirard,28029,,opendata.paris.fr - 04/2011
StopPoint:Node:333247898,48.6323016,2.2897665,,,,
StopPoint:Node:333289777,48.5319551,2.3714602,Gare RER,,,
StopPoint:Node:334552201,48.6029399,2.37148,Imprimerie Nationale,,,
StopPoint:Node:335384022,48.7780731,1.9767128,Clément Marot,,,
StopPoint:Node:335466188,48.8209517,2.4642023,Joinville-le-Pont RER,,,
StopPoint:Node:335466190,48.8201147,2.4641221,Joinville-le-Pont RER,,,
StopPoint:Node:338283845,48.7837446,1.9591131,Église du Village,,,
StopPoint:Node:338918069,48.8097388,2.1554823,Stade de Jussieur,,,
StopPoint:Node:338918071,48.8095133,2.1556483,Stade de Jussieur,,,
StopPoint:Node:338938557,48.9642669,2.5379891,,,,
StopPoint:Node:338938585,48.9688592,2.5454671,,,,
StopPoint:Node:338939260,48.9638118,2.5370825,,,,
StopPoint:Node:338940672,48.9558432,2.5531197,Leclerc,,,
StopPoint:Node:338940919,48.9558587,2.5460401,,,,
StopPoint:Node:338999173,48.8080733,2.1597022,Petits Bois,,,
StopPoint:Node:338999176,48.8079383,2.1596624,Petits Bois,,,
StopPoint:Node:339306167,48.9529549,2.2182336,,,,
StopPoint:Node:339306842,48.9504411,2.2269626,,,,
StopPoint:Node:339307018,48.9510611,2.2316146,,,,
StopPoint:Node:339346043,48.8021756,2.3385495,,,,
StopPoint:Node:339399930,48.8102698,2.3273102,Vache Noire,,,
StopPoint:Node:339863874,48.4850555,2.3510094,La Ferté-Alais RER,,,
StopPoint:Node:343018946,48.6939867,2.3657803,Cimetière,,,
